fieldname,fieldname_short,required,data_type,field_length
Government Furnished Property GFP,government_furnished_prope,optional,string,
Government Furnished Property GFP Description Tag,government_furnished_desc,optional,string,
Information Technology Commercial Item Category,information_technology_com,optional,string,
Information Technology Commercial Item Category Description Tag,information_technolog_desc,optional,string,
Interagency Contracting Authority,interagency_contracting_au,optional,string,
Interagency Contracting Authority Description Tag,interagency_contract_desc,optional,string,
Local Area Set Aside,local_area_set_aside,optional,string,
Local Area Set Aside Description Tag,local_area_set_aside_desc,optional,string,
Major program,major_program,optional,string,
Purchase Card as Payment Method,purchase_card_as_payment_m,optional,string,
Purchase Card as Payment Method Description Tag,purchase_card_as_paym_desc,optional,string,
Multi Year Contract,multi_year_contract,optional,string,
Multi Year Contract Description Tag,multi_year_contract_desc,optional,string,
National Interest Action,national_interest_action,optional,string,
National Interest Action Description Tag,national_interest_desc,optional,string,
Number of Actions,number_of_actions,optional,string,
Number of Offers Received,number_of_offers_received,optional,string,
Other Statutory Authority,other_statutory_authority,optional,string,
Performance-Based Service Acquisition,performance_based_service,optional,string,
Performance-Based Service Acquisition Description Tag,performance_based_se_desc,optional,string,
Place of Manufacture,place_of_manufacture,optional,string,
Place of Manufacture Description Tag,place_of_manufacture_desc,optional,string,
Price Evaluation Adjustment Preference Percent Difference,price_evaluation_adjustmen,optional,string,
Product or Service Code,product_or_service_code,optional,string,
Product or Service Code Description Tag,product_or_service_co_desc,optional,string,
Program Acronym,program_acronym,optional,string,
Other than Full and Open Competition,other_than_full_and_open_c,optional,string,
Other than Full and Open Competition Description Tag,other_than_full_and_o_desc,optional,string,
Recovered Materials/Sustainability,recovered_materials_sustai,optional,string,
Recovered Materials/Sustainability Description Tag,recovered_materials_s_desc,optional,string,
Research,research,optional,string,
Research Description Tag,research_description,optional,string,
Sea Transportation,sea_transportation,optional,string,
Sea Transportation Description Tag,sea_transportation_desc,optional,string,
Labor Standards,labor_standards,optional,string,
Labor Standards Description Tag,labor_standards_descrip,optional,string,
Small Business Competitiveness Demonstration Program,small_business_competitive,optional,string,
Solicitation Identifier,solicitation_identifier,optional,string,
Solicitation Procedures,solicitation_procedures,optional,string,
Solicitation Procedures Description Tag,solicitation_procedur_desc,optional,string,
Fair Opportunity Limited Sources,fair_opportunity_limited_s,optional,string,
Fair Opportunity Limited Sources Description Tag,fair_opportunity_limi_desc,optional,string,
Subcontracting Plan,subcontracting_plan,optional,string,
Subcontracting Plan Description Tag,subcontracting_plan_desc,optional,string,
DOD Acquisition Program,program_system_or_equipmen,optional,string,
DOD Acquisition Program Description Tag,program_system_or_equ_desc,optional,string,
Type Set Aside,type_set_aside,optional,string,
Type Set Aside Description Tag,type_set_aside_description,optional,string,
EPA-Designated Product,epa_designated_product,optional,string,
EPA-Designated Product Description Tag,epa_designated_produc_desc,optional,string,
"Materials, Supplies, Articles & Equip",materials_supplies_article,optional,string,
"Materials, Supplies, Articles & Equip Description Tag",materials_supplies_descrip,optional,string,
Transaction Number,transaction_number,optional,string,
SAM Exception,sam_exception,optional,string,
SAM Exception Description Tag,sam_exception_description,optional,string,
City Local Government,city_local_government,optional,string,
County Local Government,county_local_government,optional,string,
Inter-Municipal Local Government,inter_municipal_local_gove,optional,string,
Local Government Owned,local_government_owned,optional,string,
Municipality Local Government,municipality_local_governm,optional,string,
School District Local Government,school_district_local_gove,optional,string,
Township Local Government,township_local_government,optional,string,
U.S. State Government,us_state_government,optional,string,
U.S. Federal Government,us_federal_government,optional,string,
Federal Agency,federal_agency,optional,string,
Federally Funded Research and Development Corp,federally_funded_research,optional,string,
U.S. Tribal Government,us_tribal_government,optional,string,
Foreign Government,foreign_government,optional,string,
Community Developed Corporation Owned Firm,community_developed_corpor,optional,string,
Labor Surplus Area Firm,labor_surplus_area_firm,optional,string,
Corporate Entity Not Tax Exempt,corporate_entity_not_tax_e,optional,string,
Corporate Entity Tax Exempt,corporate_entity_tax_exemp,optional,string,
Partnership or Limited Liability Partnership,partnership_or_limited_lia,optional,string,
Sole Proprietorship,sole_proprietorship,optional,string,
Small Agricultural Cooperative,small_agricultural_coopera,optional,string,
International Organization,international_organization,optional,string,
U.S. Government Entity,us_government_entity,optional,string,
Emerging Small business,emerging_small_business,optional,string,
8a Program Participant,c8a_program_participant,optional,string,
SBA Certified 8 a Joint Venture,sba_certified_8_a_joint_ve,optional,string,
DoT Certified Disadvantaged Business Enterprise,dot_certified_disadvantage,optional,string,
Self-Certified Small Disadvantaged Business,self_certified_small_disad,optional,string,
Historically Underutilized Business Zone HUBZone Firm,historically_underutilized,optional,string,
Small Disadvantaged Business,small_disadvantaged_busine,optional,string,
The AbilityOne Program,the_ability_one_program,optional,string,
Historically Black College or University,historically_black_college,optional,string,
1862 Land Grant College,c1862_land_grant_college,optional,string,
1890 land grant College,c1890_land_grant_college,optional,string,
1994 Land Grant College,c1994_land_grant_college,optional,string,
Minority Institution,minority_institution,optional,string,
Private University or College ,private_university_or_coll,optional,string,
School of Forestry,school_of_forestry,optional,string,
State Controlled Institution of Higher Learning,state_controlled_instituti,optional,string,
Tribal College,tribal_college,optional,string,
Veterinary College,veterinary_college,optional,string,
Educational Institution,educational_institution,optional,string,
Alaskan Native Servicing Institution,alaskan_native_servicing_i,optional,string,
Community Development Corporation,community_development_corp,optional,string,
Native Hawaiian Servicing Institution,native_hawaiian_servicing,optional,string,
Domestic Shelter,domestic_shelter,optional,string,
Manufacturer of Goods,manufacturer_of_goods,optional,string,
Hospital Flag,hospital_flag,optional,string,
Veterinary Hospital,veterinary_hospital,optional,string,
Hispanic Servicing Institution,hispanic_servicing_institu,optional,string,
Foundation,foundation,optional,string,
Woman Owned business,woman_owned_business,optional,string,
Minority Owned Business,minority_owned_business,optional,string,
Women Owned Small Business,women_owned_small_business,optional,string,
Economically Disadvantaged Women Owned Small Business,economically_disadvantaged,optional,string,
Joint Venture Women Owned Small Business,joint_venture_women_owned,optional,string,
Joint Venture Economically Disadvantaged Women Owned Small Business,joint_venture_economically,optional,string,
Veteran Owned Business,veteran_owned_business,optional,string,
Service Disabled Veteran Owned Business,service_disabled_veteran_o,optional,string,
Contracts,contracts,optional,string,
Grants,grants,optional,string,
Receives Contracts and Grants,receives_contracts_and_gra,optional,string,
Airport Authority,airport_authority,optional,string,
Council of Governments,council_of_governments,optional,string,
Housing Authorities Public/Tribal,housing_authorities_public,optional,string,
Interstate Entity,interstate_entity,optional,string,
Planning Commission,planning_commission,optional,string,
Port Authority,port_authority,optional,string,
Transit Authority,transit_authority,optional,string,
Subchapter S Corporation,subchapter_s_corporation,optional,string,
Limited Liability Corporation,limited_liability_corporat,optional,string,
Foreign Owned and Located,foreign_owned_and_located,optional,string,
American Indian Owned Business,american_indian_owned_busi,optional,string,
Alaskan Native Owned Corporation or Firm,alaskan_native_owned_corpo,optional,string,
Indian Tribe Federally Recognized,indian_tribe_federally_rec,optional,string,
Native Hawaiian Owned Business,native_hawaiian_owned_busi,optional,string,
Tribally Owned Business,tribally_owned_business,optional,string,
Asian Pacific American Owned Business,asian_pacific_american_own,optional,string,
Black American Owned Business,black_american_owned_busin,optional,string,
Hispanic American Owned Business,hispanic_american_owned_bu,optional,string,
Native American Owned Business,native_american_owned_busi,optional,string,
Subcontinent Asian Asian - Indian American Owned Business,subcontinent_asian_asian_i,optional,string,
Other Minority Owned Business,other_minority_owned_busin,optional,string,
For Profit Organization,for_profit_organization,optional,string,
Nonprofit Organization,nonprofit_organization,optional,string,
Other Not For Profit Organization,other_not_for_profit_organ,optional,string,
U.S. Local Government,us_local_government,optional,string,
Referenced IDV Modification Number,referenced_idv_modificatio,optional,string,
Undefinitized Action,undefinitized_action,optional,string,
Undefinitized Action Description Tag,undefinitized_action_desc,optional,string,
Domestic or Foreign Entity,domestic_or_foreign_entity,optional,string,
Domestic or Foreign Entity Description,domestic_or_foreign_e_desc,optional,string,
LastModifiedDate,last_modified,optional,string,
Referenced IDV Type,referenced_idv_type,optional,string,
Referenced IDV Type Description Tag,referenced_idv_type_desc,optional,string,
Referenced IDV Multiple or Single,referenced_mult_or_single,optional,string,
Referenced IDV Multiple or Single Description Tag,referenced_mult_or_si_desc,optional,string,
Referenced IDV Agency Name,referenced_idv_agency_name,optional,string,
Award Or IDV Flag,award_or_idv_flag,optional,string,
PrimaryPlaceOfPerformanceCountryName,place_of_perform_country_n,optional,string,
PrimaryPlaceOfPerformanceStateName,place_of_perform_state_nam,optional,string,
PrimaryPlaceOfPerformanceCountyName,place_of_perform_county_na,optional,string,
BaseAndExercisedOptionsValue,base_exercised_options_val,optional,string,
BaseAndAllOptionsValue,base_and_all_options_value,optional,string,
CAGE Code,cage_code,optional,string,
Inherently Governmental Functions,inherently_government_func,optional,string,
Inherently Governmental Functions Description Tag,inherently_government_desc,optional,string,
OrganizationalType,organizational_type,optional,string,
NumberOfEmployees,number_of_employees,optional,string,
AnnualRevenue,annual_revenue,optional,string,
TotalDollarsObligated,total_obligated_amount,optional,string,
