daimsname,fieldname,fieldname_short,required,data_type,field_length,padded_flag
FundingSubTierAgencyName,fundingsubtieragencyname,funding_sub_tier_agency_na,FALSE,str,100,
LegalEntityAddressLine1,legalentityaddressline1,legal_entity_address_line1,FALSE,str,150,
LegalEntityAddressLine2,legalentityaddressline2,legal_entity_address_line2,FALSE,str,150,
LegalEntityCityCode,legalentitycitycode,legal_entity_city_code,FALSE,str,5,
LegalEntityCityName,legalentitycityname,legal_entity_city_name,FALSE,str,40,
LegalEntityCongressionalDistrict,legalentitycongressionaldistrict,legal_entity_congressional,FALSE,str,2,
LegalEntityCountryCode,legalentitycountrycode,legal_entity_country_code,FALSE,str,3,
LegalEntityCountryName,legalentitycountryname,legal_entity_country_name,FALSE,str,,
LegalEntityCountyCode,legalentitycountycode,legal_entity_county_code,FALSE,str,3,
LegalEntityCountyName,legalentitycountyname,legal_entity_county_name,FALSE,str,40,
LegalEntityForeignCityName,legalentityforeigncityname,legal_entity_foreign_city,FALSE,str,40,
LegalEntityForeignPostalCode,legalentityforeignpostalcode,legal_entity_foreign_posta,FALSE,str,50,
LegalEntityForeignProvinceName,legalentityforeignprovincename,legal_entity_foreign_provi,FALSE,str,25,
LegalEntityStateCode,legalentitystatecode,legal_entity_state_code,FALSE,str,2,
LegalEntityStateName,legalentitystatename,legal_entity_state_name,FALSE,str,50,
LegalEntityZIP5,legalentityzip5,legal_entity_zip5,FALSE,str,5,
LegalEntityZIPLast4,legalentityziplast4,legal_entity_zip_last4,FALSE,str,4,
NonFederalFundingAmount,nonfederalfundingamount,non_federal_funding_amount,FALSE,float,20,
OriginalLoanSubsidyCost,originalloansubsidycost,original_loan_subsidy_cost,FALSE,float,20,
PeriodOfPerformanceCurrentEndDate,periodofperformancecurrentenddate,period_of_performance_curr,FALSE,str,8,
PeriodOfPerformanceStartDate,periodofperformancestartdate,period_of_performance_star,FALSE,str,8,
PrimaryPlaceOfPerformanceCityName,primaryplaceofperformancecityname,place_of_performance_city,FALSE,str,100,
PrimaryPlaceOfPerformanceCode,primaryplaceofperformancecode,place_of_performance_code,FALSE,str,7,
PrimaryPlaceOfPerformanceCongressionalDistrict,primaryplaceofperformancecongressionaldistrict,place_of_performance_congr,FALSE,str,2,
PrimaryPlaceOfPerformanceCountryCode,primaryplaceofperformancecountrycode,place_of_perform_country_c,FALSE,str,3,
PrimaryPlaceOfPerformanceCountryName,primaryplaceofperformancecountryname,place_of_perform_country_n,FALSE,str,,
PrimaryPlaceOfPerformanceCountyCode,primaryplaceofperformancecountycode,place_of_perform_county_co,FALSE,str,,
PrimaryPlaceOfPerformanceCountyName,primaryplaceofperformancecountyname,place_of_perform_county_na,FALSE,str,40,
PrimaryPlaceOfPerformanceForeignLocationDescription,primaryplaceofperformanceforeignlocationdescription,place_of_performance_forei,FALSE,str,100,
PrimaryPlaceOfPerformanceStateName,primaryplaceofperformancestatename,place_of_perform_state_nam,FALSE,str,50,
PrimaryPlaceOfPerformanceZIP+4,primaryplaceofperformancezip+4,place_of_performance_zip4a,FALSE,str,10,
RecordType,recordtype,record_type,TRUE,int,1,
RecordTypeDescriptionTag,recordtypedescriptiontag,record_type_description,FALSE,str,,
SAI_Number,sai_number,sai_number,FALSE,str,50,
TotalFundingAmount,totalfundingamount,total_funding_amount,FALSE,float,20,
UltimateParentLegalEntityName,ultimateparentlegalentityname,ultimate_parent_legal_enti,FALSE,str,120,
UltimateParentUniqueIdentifier,ultimateparentuniqueidentifier,ultimate_parent_unique_ide,FALSE,str,9,
URI,uri,uri,FALSE,str,70,
