"FY","PD","ALLOC_XFER_AGENCY","AID","MAIN_ACCT","SUB_ACCT","COMPOUND_KEY","PARK","PARK_NAME","RECORD_UPDATE_TS","FILE_UPDATE_TS"
"2024","09","","000","0438","","PB2018001100400000001","5ZBQ2MAHZS1","Salaries and Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0440","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0460","","PB2018001110460000001","5ZBQ3AFB31B","Joint Committee on Taxation (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0476","","PB2018001130476000001","5ZBQ4KH56VJ","General Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0476","","PB2021001130476000801","5T9PTW3N1TR","General Expenses (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0477","","PB2018001130477000001","5ZBQ4KH7PEP","Salaries (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4003","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4004","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4006","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4007","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4008","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4011","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4022","","PB2018001050123000001","5ZBPXDM7FCL","Miscellaneous Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4046","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4047","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4051","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4052","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4062","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4086","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4087","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4091","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4101","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4191","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4199","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4326","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4436","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4509","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","4515","","PB2018001109931000801","5ZBQ399P6GH","House Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2018001459911000001","5ZBQPVJ8UA5","Other Legislative Branch Boards and Commissions (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000001","5T9QH95QZYT","International Conferences and Contingencies","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000002","5T9QH95QZYU","Women's Suffrage Centennial Commission","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000003","5T9QH95QZYV","Dwight D. Eisenhower Memorial Commission","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000004","5T9QH95QZYW","World War I Centennial Commission","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000005","5T9QH95QZYX","United States Semiquincentennial Commission","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000006","5T9QH95QZJ0","Commission on Security and Cooperation in Europe","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000007","5T9QH95QZJ1","Western Hemisphere Drug Policy Commission","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000008","5T9QH95QZJ2","Congressional Executive Commission on the People's Republic of China","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","5509","","PB2021001459911000009","5T9QH95QZJ3","Other Legislative Branch Boards and Commissions","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0100","","PB2018001150100000001","5ZBQ5TNLWQL","General Administration (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0105","","PB2018001150105000001","5ZBQ5TZ0NAH","Capitol Building (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0106","","PB2018001150105000001","5ZBQ5TZ0NAH","Capitol Building (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0108","","PB2018001150108000001","5ZBQ5TZ8AS1","Capitol Grounds (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0123","","PB2018001150123000001","5ZBQ5TPCGDN","Senate Office Buildings (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0123","","PB2024001150123000801","607PMYWE5KL","Senate Office Buildings (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0127","","PB2018001150127000001","5ZBQ5TPMMED","House Office Buildings (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0127","","PB2021001150127000801","5T9PV7C6HCL","House Office Buildings (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0133","","PB2018001150133000001","5ZBQ5TQ3VFF","Capitol Power Plant (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0133","","PB2018001150133000801","5ZBQ5TQ3W4X","Capitol Power Plant (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0155","","PB2018001150155000001","5ZBQ5TRPUJB","Library Buildings and Grounds (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0155","","PB2018001150155000801","5ZBQ5TRPV8T","Library Buildings and Grounds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0161","","PB2018001150161000001","5ZBQ5TS75KD","Capitol Visitor Center (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","0171","","PB2018001150171000001","5ZBQ5TSWKM5","Capitol Police Buildings, Grounds, and Security (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","1833","","PB2018001151833000001","5ZBQ5XHB69F","House Historic Buildings Revitalization Trust Fund (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4200","","PB2018001150127000001","5ZBQ5TPMMED","House Office Buildings (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4200","","PB2021001150127000801","5T9PV7C6HCL","House Office Buildings (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4296","","PB2018001154296000801","5ZBQ64VLP8L","Capitol Visitor Center Revolving Fund (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4566","","PB2018001150123000001","5ZBQ5TPCGDN","Senate Office Buildings (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4566","","PB2024001150123000801","607PMYWE5KL","Senate Office Buildings (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","001","4666","","PB2018001150105000001","5ZBQ5TZ0NAH","Capitol Building (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","0461","","PB2023001130461000001","5WJPZ5RJEF3","Security Enhancements (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","0476","","PB2018001130476000001","5ZBQ4KH56VJ","General Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","0476","","PB2021001130476000801","5T9PTW3N1TR","General Expenses (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","0477","","PB2018001130477000001","5ZBQ4KH7PEP","Salaries (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","0478","","PB2023001130478000001","5WJPZ5SSN13","United States Capitol Police Mutual Aid Reimbursements (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","002","5083","","PB2018001130477000001","5ZBQ4KH7PEP","Salaries (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000001","5ZBQCBQTYAT","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000002","5ZBQCBQTYAU","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000003","5ZBQCBQTYAV","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000004","5ZBQCBQTYAW","Law Library","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000005","5ZBQCBQTYAX","Office of Inspector General","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000006","5ZBQCBQTYB0","Office of Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000801","5ZBQCBQTJ0D","Reimbursable program - Interagency/ Intra-agency","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2018001250101000802","5ZBQCBQTJ0E","Reimbursable program - National Library","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2020001250101000002","5RLQ6JHU35C","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2020001250101000007","5RLQ6JHU35H","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2021001250101000005","5T9Q3NDDCJN","Office of the Inspector General","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2021001250101000007","5T9Q3NDDCJP","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2023001250101000008","5WJPVV4DVE8","Discovery and Preservation Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0101","","PB2023001250101000009","5WJPVV4DVE9","Researcher and Collections Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0102","","PB2018001250102000001","5ZBQCBQW2S1","Registration, recordation, cataloging, acquisitions, & public reference (Basic)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0102","","PB2018001250102000002","5ZBQCBQW2S2","Determinations by Copyright Royalty Judges","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0102","","PB2018001250102000801","5ZBQCBQW3HJ","Registration, recordation, cataloging, acquisitions, & public reference (Basic)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0102","","PB2018001250102000802","5ZBQCBQW3HK","Licensing","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0102","","PB2022001250102000803","5UVQ0R8X76J","Copyright Royalty Judges","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0127","","PB2018001250127000001","5ZBQCBSRNFF","Congressional Research Service, Salaries and Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0141","","PB2018001250141000001","5ZBQCBTTAHV","Direct service to users","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0141","","PB2019001250141000801","5PXQ9FPCKLN","Books for the Blind and Physically Handicapped, Salaries and Expenses (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","0141","","PB2021001250141000801","5T9Q3NGD5G5","National Library Service For The Blind And Print Disabled (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","4325","","PB2018001254325000801","5ZBQCL2WYVR","Cooperative Acquisitions Program","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","4346","","PB2018001254346000801","5ZBQCL4HXYH","National Library","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","4543","","PB2018001254543000801","5ZBQCLJ9729","Fedlink and Federal Research","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","5175","","PB2018001255175000001","5ZBQCMWJ5M9","Licensing costs","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2018001259971000001","5ZBQCXHFGYL","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2018001259971000002","5ZBQCXHFGYM","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2018001259971000003","5ZBQCXHFGYN","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2022001259971000003","5UVQ1EXGK7L","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2023001259971000002","5WJPWYSXTLS","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8022","","PB2023001259971000004","5WJPWYSXTLU","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2018001259971000001","5ZBQCXHFGYL","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2018001259971000002","5ZBQCXHFGYM","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2018001259971000003","5ZBQCXHFGYN","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2022001259971000003","5UVQ1EXGK7L","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2023001259971000002","5WJPWYSXTLS","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8031","","PB2023001259971000004","5WJPWYSXTLU","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2018001259971000001","5ZBQCXHFGYL","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2018001259971000002","5ZBQCXHFGYM","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2018001259971000003","5ZBQCXHFGYN","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2022001259971000003","5UVQ1EXGK7L","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2023001259971000002","5WJPWYSXTLS","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8032","","PB2023001259971000004","5WJPWYSXTLU","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2018001259971000001","5ZBQCXHFGYL","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2018001259971000002","5ZBQCXHFGYM","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2018001259971000003","5ZBQCXHFGYN","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2022001259971000003","5UVQ1EXGK7L","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2023001259971000002","5WJPWYSXTLS","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8208","","PB2023001259971000004","5WJPWYSXTLU","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2018001259971000001","5ZBQCXHFGYL","Office of the Librarian","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2018001259971000002","5ZBQCXHFGYM","National and International Outreach","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2018001259971000003","5ZBQCXHFGYN","Library Services","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2022001259971000003","5UVQ1EXGK7L","Office of the Chief Operating Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2023001259971000002","5WJPWYSXTLS","Office of the Chief Information Officer","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","003","8339","","PB2023001259971000004","5WJPWYSXTLU","Library Collections and Services Group","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","004","0201","","PB2018001300201000001","5ZBQFK1VGC1","Depository Library Distribution","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","004","0201","","PB2018001300201000002","5ZBQFK1VGC2","Cataloging and Indexing","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","004","0201","","PB2018001300201000003","5ZBQFK1VGC3","International Exchange","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","004","0203","","PB2018001300203000001","5ZBQFK22JCD","Congressional Publishing","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000001","5ZBQYRUFSCX","GOAL 1-Address Current and Emerging Challenges to the Well-being and Financial Security of the American People","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000002","5ZBQYRUFSD0","GOAL 2-Respond to Changing Security Threats and the Challenges of Global Interdependence","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000003","5ZBQYRUFSD1","GOAL 3-Help Transform the Federal Government to Address National Challenges","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000004","5ZBQYRUFSD2","GOAL 4-Maximize the Value of GAO by Enabling Quality, Timely Service to the Congress, and by Being a Leading Practices Federal Agency","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000005","5ZBQYRUFSD3","GOAL 8-Other Costs in Support of the Congress","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000801","5ZBQYRUFT2H","Reimbursable program activity goal 1","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","005","0107","","PB2018001350107000803","5ZBQYRUFT2J","Reimbursable program activity goal 3","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
