YEAR,AGENCY_ID,ALLOC_ID,ACCOUNT,PA_CODE,PA_NAME,FYQ
2016,012,,0122,0001,Office of the Secretary,FY2018Q2
2016,012,,0122,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0122,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0122,0004,Departmental Administration,FY2018Q2
2016,012,,0122,0005,Office of Communications,FY2018Q2
2016,012,,0122,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0122,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0122,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0122,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0122,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0124,0001,Office of the Secretary,FY2018Q2
2016,012,,0124,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0124,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0124,0004,Departmental Administration,FY2018Q2
2016,012,,0124,0005,Office of Communications,FY2018Q2
2016,012,,0124,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0124,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0124,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0124,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0124,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0125,0001,Office of the Secretary,FY2018Q2
2016,012,,0125,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0125,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0125,0004,Departmental Administration,FY2018Q2
2016,012,,0125,0005,Office of Communications,FY2018Q2
2016,012,,0125,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0125,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0125,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0125,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0125,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0126,0001,Office of the Secretary,FY2018Q2
2016,012,,0126,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0126,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0126,0004,Departmental Administration,FY2018Q2
2016,012,,0126,0005,Office of Communications,FY2018Q2
2016,012,,0126,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0126,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0126,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0126,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0126,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0127,0001,Office of the Secretary,FY2018Q2
2016,012,,0127,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0127,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0127,0004,Departmental Administration,FY2018Q2
2016,012,,0127,0005,Office of Communications,FY2018Q2
2016,012,,0127,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0127,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0127,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0127,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0127,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0128,0001,Office of the Secretary,FY2018Q2
2016,012,,0128,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0128,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0128,0004,Departmental Administration,FY2018Q2
2016,012,,0128,0005,Office of Communications,FY2018Q2
2016,012,,0128,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0128,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0128,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0128,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0128,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0129,0001,Office of the Secretary,FY2018Q2
2016,012,,0129,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0129,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0129,0004,Departmental Administration,FY2018Q2
2016,012,,0129,0005,Office of Communications,FY2018Q2
2016,012,,0129,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0129,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0129,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0129,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0129,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0130,0001,Office of the Secretary,FY2018Q2
2016,012,,0130,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0130,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0130,0004,Departmental Administration,FY2018Q2
2016,012,,0130,0005,Office of Communications,FY2018Q2
2016,012,,0130,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0130,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0130,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0130,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0130,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0131,0001,Office of the Secretary,FY2018Q2
2016,012,,0131,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0131,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0131,0004,Departmental Administration,FY2018Q2
2016,012,,0131,0005,Office of Communications,FY2018Q2
2016,012,,0131,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0131,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0131,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0131,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0131,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0132,0001,Office of the Secretary,FY2018Q2
2016,012,,0132,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0132,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0132,0004,Departmental Administration,FY2018Q2
2016,012,,0132,0005,Office of Communications,FY2018Q2
2016,012,,0132,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0132,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0132,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0132,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0132,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0150,0001,Office of the Secretary,FY2018Q2
2016,012,,0150,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0150,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0150,0004,Departmental Administration,FY2018Q2
2016,012,,0150,0005,Office of Communications,FY2018Q2
2016,012,,0150,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0150,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0150,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0150,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0150,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,0601,0001,Office of the Secretary,FY2018Q2
2016,012,,0601,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,0601,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,0601,0004,Departmental Administration,FY2018Q2
2016,012,,0601,0005,Office of Communications,FY2018Q2
2016,012,,0601,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,0601,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,0601,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,0601,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,0601,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,3701,0001,Office of the Secretary,FY2018Q2
2016,012,,3701,0002,Under/Assistant Secretaries,FY2018Q2
2016,012,,3701,0003,Trade negotiations and biotechnology resources,FY2018Q2
2016,012,,3701,0004,Departmental Administration,FY2018Q2
2016,012,,3701,0005,Office of Communications,FY2018Q2
2016,012,,3701,0006,Office of Advocacy and Outreach,FY2018Q2
2016,012,,3701,0007,Office of Homeland Security and Emergency Coordination,FY2018Q2
2016,012,,3701,0008,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers,FY2018Q2
2016,012,,3701,0009,Biobased Markets Program Sec 9001,FY2018Q2
2016,012,,3701,0802,Office of the Secretary (Reimbursable),FY2018Q2
2016,012,,8203,0001,Gifts and bequests,FY2018Q2
2016,012,,0123,0001,Office of the Chief Economist,FY2018Q2
2016,012,,0123,0002,Biodiesel Fuel Education Program,FY2018Q2
2016,012,,0123,0801,Office of the Chief Economist (Reimbursable),FY2018Q2
2016,012,,0706,0001,National Appeals Division,FY2018Q2
2016,012,,0503,0005,Office of Budget and Program Analysis (Direct),FY2018Q2
2016,012,,4609,0801,Administration,FY2018Q2
2016,012,,4609,0802,Communications,FY2018Q2
2016,012,,4609,0803,Finance and management,FY2018Q2
2016,012,,4609,0804,Information technology,FY2018Q2
2016,012,,4609,0805,Executive secretariat,FY2018Q2
2016,012,,4609,0815,Capital Funding Availability,FY2018Q2
2016,012,,4609,0816,Proceeds from Purchase Card Rebate Programs,FY2018Q2
2016,012,,4609,0817,Proceeds from Transfers of Discretionary Unobligated Balances,FY2018Q2
2016,012,,0013,0001,Office of the Chief Information Officer,FY2018Q2
2016,012,,0013,0002,Homeland Security,FY2018Q2
2016,012,,0013,0801,Office of the Chief Information Officer (Reimbursable),FY2018Q2
2016,012,,0014,0001,Office of the Chief Financial Officer (Direct),FY2018Q2
2016,012,,3800,0001,Office of Civil Rights (Direct),FY2018Q2
2016,012,,3800,0801,Office of Civil Rights (Reimbursable),FY2018Q2
2016,012,,0500,0001,Hazardous materials management,FY2018Q2
2016,012,,0117,0001,Rental payments to GSA: Non-recurring repairs,FY2018Q2
2016,012,,0117,0002,Building operations and maintenance,FY2018Q2
2016,012,,0117,0003,Homeland Security Database,FY2018Q2
2016,012,,0117,0004,DHS Security Payments,FY2018Q2
2016,012,,0117,0005,Life Safety Projects,FY2018Q2
2016,012,,0117,0006,South Building Renovations,FY2018Q2
2016,012,,0117,0802,Agriculture Buildings and Facilities and Rental Payments (Reimbursable),FY2018Q2
2016,012,,0900,0001,Office of the Inspector General,FY2018Q2
2016,012,,0900,0801,Office of Inspector General (Reimbursable),FY2018Q2
2016,012,,5410,0001,Office of the Inspector General,FY2018Q2
2016,012,,5410,0801,Office of Inspector General (Reimbursable),FY2018Q2
2016,012,,5411,0001,Office of the Inspector General,FY2018Q2
2016,012,,5411,0801,Office of Inspector General (Reimbursable),FY2018Q2
2016,012,,0136,0001,Office of the General Counsel,FY2018Q2
2016,012,,0136,0801,Office of the General Counsel (Reimbursable),FY2018Q2
2016,012,,2300,0001,Office of the General Counsel,FY2018Q2
2016,012,,2300,0801,Office of the General Counsel (Reimbursable),FY2018Q2
2016,012,,1701,0001,Economic Research Service,FY2018Q2
2016,012,,1701,0801,Economic Research Service (Reimbursable),FY2018Q2
2016,012,,8227,0001,Economic Research Service,FY2018Q2
2016,012,,8227,0801,Economic Research Service (Reimbursable),FY2018Q2
2016,012,,1801,0001,Agricultural estimates,FY2018Q2
2016,012,,1801,0002,Statistical research and service,FY2018Q2
2016,012,,1801,0003,Census of agriculture,FY2018Q2
2016,012,,1801,0801,National Agricultural Statistics Service (Reimbursable),FY2018Q2
2016,012,,8218,0001,Agricultural estimates,FY2018Q2
2016,012,,8218,0002,Statistical research and service,FY2018Q2
2016,012,,8218,0003,Census of agriculture,FY2018Q2
2016,012,,8218,0801,National Agricultural Statistics Service (Reimbursable),FY2018Q2
2016,012,,1400,0001,Product quality/value added,FY2018Q2
2016,012,,1400,0002,Livestock production,FY2018Q2
2016,012,,1400,0003,Crop production,FY2018Q2
2016,012,,1400,0004,Food safety,FY2018Q2
2016,012,,1400,0005,Livestock protection,FY2018Q2
2016,012,,1400,0006,Crop protection,FY2018Q2
2016,012,,1400,0007,Human nutrition research,FY2018Q2
2016,012,,1400,0008,Environmental stewardship,FY2018Q2
2016,012,,1400,0009,National Agricultural Library,FY2018Q2
2016,012,,1400,0010,Repair and maintenance of facilities,FY2018Q2
2016,012,,1400,0011,Decentralized GSA and Security Payments,FY2018Q2
2016,012,,1400,0012,Homeland security,FY2018Q2
2016,012,,1400,0014,Miscellaneous Fees/Supplementals,FY2018Q2
2016,012,,1400,0881,Salaries and Expenses (Reimbursable),FY2018Q2
2016,012,,5279,0001,Product quality/value added,FY2018Q2
2016,012,,5279,0002,Livestock production,FY2018Q2
2016,012,,5279,0003,Crop production,FY2018Q2
2016,012,,5279,0004,Food safety,FY2018Q2
2016,012,,5279,0005,Livestock protection,FY2018Q2
2016,012,,5279,0006,Crop protection,FY2018Q2
2016,012,,5279,0007,Human nutrition research,FY2018Q2
2016,012,,5279,0008,Environmental stewardship,FY2018Q2
2016,012,,5279,0009,National Agricultural Library,FY2018Q2
2016,012,,5279,0010,Repair and maintenance of facilities,FY2018Q2
2016,012,,5279,0011,Decentralized GSA and Security Payments,FY2018Q2
2016,012,,5279,0012,Homeland security,FY2018Q2
2016,012,,5279,0014,Miscellaneous Fees/Supplementals,FY2018Q2
2016,012,,5279,0881,Salaries and Expenses (Reimbursable),FY2018Q2
2016,012,,1401,0001,Building and facilities projects,FY2018Q2
2016,012,,8214,0001,Miscellaneous contributed funds,FY2018Q2
2016,012,,1502,0020,Water quality,FY2018Q2
2016,012,,1502,0050,Crop Protection/Pest Management,FY2018Q2
2016,012,,1502,0070,Methyl bromide transition program,FY2018Q2
2016,012,,1502,0071,Homeland Security,FY2018Q2
2016,012,,1502,0085,Emergency Citrus Research and Extension Program,FY2018Q2
2016,012,,1502,0086,Specialty Crop Research Initiative,FY2018Q2
2016,012,,1502,0087,Regional Rural development centers,FY2018Q2
2016,012,,1502,0088,Organic transition,FY2018Q2
2016,012,,1502,0089,Organic Research and Extension Initiative,FY2018Q2
2016,012,,1003,0001,Biomass research and development,FY2018Q2
2016,012,,1500,0001,Payments under the Hatch Act,FY2018Q2
2016,012,,1500,0002,Cooperative forestry research,FY2018Q2
2016,012,,1500,0003,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University,FY2018Q2
2016,012,,1500,0004,Special research grants,FY2018Q2
2016,012,,1500,0005,Agriculture Food and Research Initiative,FY2018Q2
2016,012,,1500,0006,Animal health and disease research,FY2018Q2
2016,012,,1500,0007,Federal Administration,FY2018Q2
2016,012,,1500,0008,Higher education,FY2018Q2
2016,012,,1500,0009,Native American Institutions Endowment Fund,FY2018Q2
2016,012,,1500,0012,Veterinary Medical Services Act,FY2018Q2
2016,012,,1500,0015,Sun Grant Program,FY2018Q2
2016,012,,1500,0016,Farm Business Management and Benchmarking,FY2018Q2
2016,012,,1500,0021,Alfalfa Forage and Research Program,FY2018Q2
2016,012,,1500,0022,Capacity Building for Non-Land Grant Colleges of Agriculture,FY2018Q2
2016,012,,1500,0801,Research and Education Activities (Reimbursable),FY2018Q2
2016,012,,5205,0001,Payments under the Hatch Act,FY2018Q2
2016,012,,5205,0002,Cooperative forestry research,FY2018Q2
2016,012,,5205,0003,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University,FY2018Q2
2016,012,,5205,0004,Special research grants,FY2018Q2
2016,012,,5205,0005,Agriculture Food and Research Initiative,FY2018Q2
2016,012,,5205,0006,Animal health and disease research,FY2018Q2
2016,012,,5205,0007,Federal Administration,FY2018Q2
2016,012,,5205,0008,Higher education,FY2018Q2
2016,012,,5205,0009,Native American Institutions Endowment Fund,FY2018Q2
2016,012,,5205,0012,Veterinary Medical Services Act,FY2018Q2
2016,012,,5205,0015,Sun Grant Program,FY2018Q2
2016,012,,5205,0016,Farm Business Management and Benchmarking,FY2018Q2
2016,012,,5205,0021,Alfalfa Forage and Research Program,FY2018Q2
2016,012,,5205,0022,Capacity Building for Non-Land Grant Colleges of Agriculture,FY2018Q2
2016,012,,5205,0801,Research and Education Activities (Reimbursable),FY2018Q2
2016,012,,0502,0001,"Smith-Lever Act, 3(b) and 3(c)",FY2018Q2
2016,012,,0502,0002,Youth at risk,FY2018Q2
2016,012,,0502,0004,Expanded food and nutrition education program (EFNEP),FY2018Q2
2016,012,,0502,0006,Farm Safety,FY2018Q2
2016,012,,0502,0009,Federally Recognized Tribes Extension Program,FY2018Q2
2016,012,,0502,0013,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University,FY2018Q2
2016,012,,0502,0015,Renewable resources extension act,FY2018Q2
2016,012,,0502,0016,Federal administration,FY2018Q2
2016,012,,0502,0019,1890 facilities (section 1447),FY2018Q2
2016,012,,0502,0022,1994 institutions activities,FY2018Q2
2016,012,,0502,0024,Rural health and safety education,FY2018Q2
2016,012,,0502,0026,Risk management education,FY2018Q2
2016,012,,0502,0027,New technologies for ag. extension,FY2018Q2
2016,012,,0502,0030,Food Animal Residue Avoidance Database,FY2018Q2
2016,012,,0502,0031,Beginning Farmers and Ranchers Program,FY2018Q2
2016,012,,0502,0032,Food Safety Outreach Program,FY2018Q2
2016,012,,0502,0033,Food Insecurity Nutrition Incentive Program,FY2018Q2
2016,012,,0502,0801,Extension Activities (Reimbursable),FY2018Q2
2016,012,,1600,0001,Animal Health,FY2018Q2
2016,012,,1600,0002,Plant Health,FY2018Q2
2016,012,,1600,0003,Wildlife Services,FY2018Q2
2016,012,,1600,0004,Regulatory Management,FY2018Q2
2016,012,,1600,0005,Emergency Management,FY2018Q2
2016,012,,1600,0006,Safe Trade and International Technical Assistance,FY2018Q2
2016,012,,1600,0007,Animal Welfare,FY2018Q2
2016,012,,1600,0008,Agency-Wide Programs,FY2018Q2
2016,012,,1600,0009,Citrus Greening - GP 748,FY2018Q2
2016,012,,1600,0010,Emergency Program Funding,FY2018Q2
2016,012,,1600,0011,Agricultural Quarantine Inspection User Fees,FY2018Q2
2016,012,,1600,0012,H1N1 Transfer From HHS,FY2018Q2
2016,012,,1600,0014,"Farm Bill, Section 10007",FY2018Q2
2016,012,,1600,0801,Salaries and Expenses (Reimbursable),FY2018Q2
2016,012,,5161,0001,Animal Health,FY2018Q2
2016,012,,5161,0002,Plant Health,FY2018Q2
2016,012,,5161,0003,Wildlife Services,FY2018Q2
2016,012,,5161,0004,Regulatory Management,FY2018Q2
2016,012,,5161,0005,Emergency Management,FY2018Q2
2016,012,,5161,0006,Safe Trade and International Technical Assistance,FY2018Q2
2016,012,,5161,0007,Animal Welfare,FY2018Q2
2016,012,,5161,0008,Agency-Wide Programs,FY2018Q2
2016,012,,5161,0009,Citrus Greening - GP 748,FY2018Q2
2016,012,,5161,0010,Emergency Program Funding,FY2018Q2
2016,012,,5161,0011,Agricultural Quarantine Inspection User Fees,FY2018Q2
2016,012,,5161,0012,H1N1 Transfer From HHS,FY2018Q2
2016,012,,5161,0014,"Farm Bill, Section 10007",FY2018Q2
2016,012,,5161,0801,Salaries and Expenses (Reimbursable),FY2018Q2
2016,012,,1601,0001,Buildings and facilities,FY2018Q2
2016,012,,8226,0001,Miscellaneous trust funds,FY2018Q2
2016,012,,8558,0001,Miscellaneous trust funds,FY2018Q2
2016,012,,3700,0001,Salaries and expenses,FY2018Q2
2016,012,,3700,0801,Salaries and Expenses (Reimbursable),FY2018Q2
2016,012,,8137,0001,"Expenses and refunds, inspection and grading of farm products",FY2018Q2
2016,012,,2400,0001,Packers and stockyards program,FY2018Q2
2016,012,,2400,0002,Grain regulatory program,FY2018Q2
2016,012,,4050,0801,Limitation on inspection and weighing services,FY2018Q2
2016,012,,2500,0001,Market news service,FY2018Q2
2016,012,,2500,0002,Inspection and standardization,FY2018Q2
2016,012,,2500,0003,Market protection and promotion,FY2018Q2
2016,012,,2500,0004,Transportation and market development,FY2018Q2
2016,012,,2500,0801,Marketing Services (Reimbursable),FY2018Q2
2016,012,,2501,0001,Payments to states and possessions,FY2018Q2
2016,012,,2501,0002,Specialty crop block grants,FY2018Q2
2016,012,,5070,0001,Perishable Agricultural Commodities Act,FY2018Q2
2016,012,,5209,0001,Child nutrition program purchases,FY2018Q2
2016,012,,5209,0002,Emergency surplus removal,FY2018Q2
2016,012,,5209,0004,State option contract,FY2018Q2
2016,012,,5209,0005,Removal of defective commodities,FY2018Q2
2016,012,,5209,0006,Disaster Relief,FY2018Q2
2016,012,,5209,0007,2008 Farm Bill Specialty Crop Purchases,FY2018Q2
2016,012,,5209,0008,Small Business Support,FY2018Q2
2016,012,,5209,0101,Administrative expenses,FY2018Q2
2016,012,,5209,0811,"Funds for Strengthening Markets, Income, and Supply (section 32) (Reimbursable)",FY2018Q2
2016,012,,0215,0001,Dairy products,FY2018Q2
2016,012,,0215,0002,Fruits and vegetables,FY2018Q2
2016,012,,0215,0003,Meat grading,FY2018Q2
2016,012,,0215,0004,Poultry products,FY2018Q2
2016,012,,0215,0005,Miscellaneous agricultural commodities,FY2018Q2
2016,012,,8015,0001,Dairy products,FY2018Q2
2016,012,,8015,0002,Fruits and vegetables,FY2018Q2
2016,012,,8015,0003,Meat grading,FY2018Q2
2016,012,,8015,0004,Poultry products,FY2018Q2
2016,012,,8015,0005,Miscellaneous agricultural commodities,FY2018Q2
2016,012,,8100,0001,Dairy products,FY2018Q2
2016,012,,8100,0002,Fruits and vegetables,FY2018Q2
2016,012,,8100,0003,Meat grading,FY2018Q2
2016,012,,8100,0004,Poultry products,FY2018Q2
2016,012,,8100,0005,Miscellaneous agricultural commodities,FY2018Q2
2016,012,,8412,0801,Administration,FY2018Q2
2016,012,,8412,0802,Marketing service,FY2018Q2
2016,012,,2707,0001,Salaries and Expenses,FY2018Q2
2016,012,,4085,0001,Indemnities,FY2018Q2
2016,012,,4085,0002,Delivery Expenses,FY2018Q2
2016,012,,4085,0003,Underwriting Gains,FY2018Q2
2016,012,,4085,0004,Federal Crop Insurance Act Initiatives,FY2018Q2
2016,012,,4085,0801,Reimbursable program - indemnities,FY2018Q2
2016,012,,4085,0802,Reimbursable program -  program related  IT,FY2018Q2
2016,012,,0600,0001,Conservation,FY2018Q2
2016,012,012,0600,0001,Conservation,FY2018Q2
2016,012,,0600,0002,Income support,FY2018Q2
2016,012,012,0600,0002,Income support,FY2018Q2
2016,012,,0600,0005,Commodity operations,FY2018Q2
2016,012,012,0600,0005,Commodity operations,FY2018Q2
2016,012,,0600,0006,Agricultural Sector Support,FY2018Q2
2016,012,012,0600,0006,Agricultural Sector Support,FY2018Q2
2016,012,,0600,0801,Farm loans,FY2018Q2
2016,012,012,0600,0801,Farm loans,FY2018Q2
2016,012,,0600,0802,Other programs,FY2018Q2
2016,012,012,0600,0802,Other programs,FY2018Q2
2016,012,,0600,0803,Other Credit Programs,FY2018Q2
2016,012,012,0600,0803,Other Credit Programs,FY2018Q2
2016,012,,0170,0001,State mediation grants,FY2018Q2
2016,012,,2701,0001,Geographically disadvantaged farmers and ranchers program,FY2018Q2
2016,012,,3305,0001,Reforestation pilot program,FY2018Q2
2016,012,,3316,0001,Emergency conservation program,FY2018Q2
2016,012,,0171,0001,EFRP,FY2018Q2
2016,012,,3304,0001,Grassroots source water payments,FY2018Q2
2016,012,,1140,0010,Administrative expenses - PLCE,FY2018Q2
2016,012,,1140,0011,Dairy Indemnity,FY2018Q2
2016,012,,1140,0012,Individual Development Account Grants,FY2018Q2
2016,012,,1140,0701,Direct loan subsidy,FY2018Q2
2016,012,,1140,0702,Loan guarantee subsidy,FY2018Q2
2016,012,,1140,0705,Reestimates of direct loan subsidy,FY2018Q2
2016,012,,1140,0706,Interest on reestimates of direct loan subsidy,FY2018Q2
2016,012,,1140,0707,Reestimates of loan guarantee subsidy,FY2018Q2
2016,012,,1140,0708,Interest on reestimates of loan guarantee subsidy,FY2018Q2
