PA_CODE,FYQ,OMB_BUREAU_TITLE_OPTNL,OMB_ACCOUNT_TITLE_OPTNL,AGENCY_CODE,ALLOCATION_ID,ACCOUNT_CODE,PA_TITLE
0001,FY18Q3,,,075,,0121,General Departmental Management
0802,FY18Q3,,,075,,0121,HCFAC (Mandatory)
0803,FY18Q3,,,075,,0121,PHS Evaluation (Collected)
0804,FY18Q3,,,075,,0122,CMS Trust Funds (Mandatory)
0001,FY18Q3,,,080,,0122,Cross Agency Support (Direct)
0801,FY18Q3,,,080,,0122,Cross Agency Support (Reimbursable)
0801,FY18Q3,,,075,,0122,GDM (Collected)
0001,FY18Q3,,,075,,0122,General Departmental Management
0802,FY18Q3,,,075,,0122,HCFAC (Mandatory)
0803,FY18Q3,,,075,,0122,PHS Evaluation (Collected)
0045,FY18Q3,,,075,,0124,Autism and Other Developmental Disorders
0015,FY18Q3,,,075,,0124,Black Lung Clinics
0025,FY18Q3,,,075,,0124,Bone Marrow Donor Registry
0038,FY18Q3,,,075,,0124,Childrens' GME
0046,FY18Q3,,,075,,0124,Cord Blood Stem Cell Bank
0049,FY18Q3,,,075,,0124,Drug Pricing Program
0021,FY18Q3,,,075,,0124,EMS for Children
0001,FY18Q3,,,080,,0124,Exploration (Direct)
0032,FY18Q3,,,075,,0124,Family Planning
0050,FY18Q3,,,075,,0124,Family Planning
0050,FY18Q3,,,075,,0124,Family to Family Health Information Centers ACA
0009,FY18Q3,,,075,,0124,Free Clinics Medical Malpractice
0077,FY18Q3,,,075,,0124,GME Payments THC ACA
0013,FY18Q3,,,075,,0124,Hansen's Disease Center
0040,FY18Q3,,,075,,0124,Health Care Systems
0010,FY18Q3,,,075,,0124,Health Centers
0073,FY18Q3,,,075,,0124,Health Centers ACA
0074,FY18Q3,,,075,,0124,Health Centers Construction ACA
0035,FY18Q3,,,075,,0124,Health Centers Tort Claim Fund
0017,FY18Q3,,,075,,0124,Health Professions
0801,FY18Q3,,,075,,0124,Health Resources and Services (Reimbursable)
0015,FY18Q3,,,075,,0124,Health Workforce
0020,FY18Q3,,,075,,0124,Health Workforce (Mandatory)
0019,FY18Q3,,,075,,0124,Healthy Start
0036,FY18Q3,,,075,,0124,Heritable Disorders
0023,FY18Q3,,,075,,0124,HIV/AIDS
0055,FY18Q3,,,075,,0124,HRSA Program Management
0033,FY18Q3,,,075,,0124,Loan Repayment/Faculty Fellowship
0025,FY18Q3,,,075,,0124,Maternal and Child Health
0030,FY18Q3,,,075,,0124,Maternal and Child Health (Mandatory)
0018,FY18Q3,,,075,,0124,Maternal and Child Health Block Grant
0012,FY18Q3,,,075,,0124,National Health Service Corps
0075,FY18Q3,,,075,,0124,National Health Service Corps ACA
0016,FY18Q3,,,075,,0124,Nursing Education Loan Repayment and Scholarships
0024,FY18Q3,,,075,,0124,Organ Transplantation
0014,FY18Q3,,,075,,0124,Payment to Hawaii for the Treatment of Hansen's Disease
0020,FY18Q3,,,075,,0124,Poison Control Centers
0005,FY18Q3,,,075,,0124,"Primary Health Care (Health Centers, Free Clinics)"
0010,FY18Q3,,,075,,0124,Primary Health Care (Mandatory)
0031,FY18Q3,,,075,,0124,Program Management
0043,FY18Q3,,,075,,0124,Radiogenic Diseases
0802,FY18Q3,,,075,,0124,Reimbursable program: PHS evaluation
0045,FY18Q3,,,075,,0124,Rural Health
0079,FY18Q3,,,075,,0124,Rural Health AED
0028,FY18Q3,,,075,,0124,Rural Health Flexibility Grants
0027,FY18Q3,,,075,,0124,Rural Health Outreach Grants
0026,FY18Q3,,,075,,0124,Rural Health Policy Development
0035,FY18Q3,,,075,,0124,Ryan White HIV/AIDS
0076,FY18Q3,,,075,,0124,School Based Health Centers ACA
0048,FY18Q3,,,075,,0124,Sickle Cell
0041,FY18Q3,,,075,,0124,State Offices of Rural Health
0030,FY18Q3,,,075,,0124,Telehealth
0044,FY18Q3,,,075,,0124,Traumatic Brain Injury
0022,FY18Q3,,,075,,0124,Universal Newborn Hearing Screening
0001,FY18Q3,,,075,075,0125,Nonrecurring Expenses Fund Projects
0001,FY18Q3,,,075,,0125,Nonrecurring Expenses Fund Projects
0001,FY18Q3,,,080,,0126,Aeronautics (Direct)
0001,FY18Q3,,,080,,0128,Education (Direct)
0802,FY18Q3,,,075,,0128,Office of Inspector General (Direct Reimbursable)
0001,FY18Q3,,,075,,0128,Office of Inspector General (Direct)
0803,FY18Q3,,,075,,0128,Office of Inspector General HCFAC Discretionary
0801,FY18Q3,,,075,,0128,Office of Inspector General HCFAC Trust Fund
0001,FY18Q3,,,080,,0130,Construction and Environmental Compliance and Restoration (Direct)
0801,FY18Q3,,,080,,0130,Construction and Environmental Compliance and Restoration (Reimbursable)
0001,FY18Q3,,,075,,0130,Health information technology
0001,FY18Q3,,,075,,0130,Health information technology (IT)
0801,FY18Q3,,,075,,0130,Office of the National Coordinator for Health Information Techno (Reimbursable)
0801,FY18Q3,,,075,,0130,Office of the National Coordinator for Health IT (ONC): Reimbursable
0002,FY18Q3,,,075,,0130,Recovery Act activities
0802,FY18Q3,,,075,,0130,Reimbursable program: PHS evaluation
0001,FY18Q3,,,075,,0131,Health information technology
0001,FY18Q3,,,075,,0131,Health information technology (IT)
0801,FY18Q3,,,075,,0131,Office of the National Coordinator for Health Information Techno (Reimbursable)
0801,FY18Q3,,,075,,0131,Office of the National Coordinator for Health IT (ONC): Reimbursable
0002,FY18Q3,,,075,,0131,Recovery Act activities
0802,FY18Q3,,,075,,0131,Reimbursable program: PHS evaluation
0001,FY18Q3,,,080,,0131,Space Technology (Direct)
0001,FY18Q3,,,075,,0135,Office for Civil Rights (Direct)
0801,FY18Q3,,,075,,0135,Office for Civil Rights (Reimbursable)
0001,FY18Q3,,,075,,0139,Office of Medicare Hearings and Appeals (Direct)
0001,FY18Q3,,,075,028,0140,Public Health and Social Services Emergency Fund
0001,FY18Q3,,,075,,0140,Public Health and Social Services Emergency Fund
0801,FY18Q3,,,075,028,0140,Reimbursable program (FEMA)
0801,FY18Q3,,,075,,0140,Reimbursable program (FEMA)
0802,FY18Q3,,,075,028,0140,Reimbursable program activity (OPP)
0802,FY18Q3,,,075,,0140,Reimbursable program activity (OPP)
0001,FY18Q3,,,075,,0141,Public Health and Social Services Emergency Fund
0801,FY18Q3,,,075,,0141,Reimbursable program (FEMA)
0802,FY18Q3,,,075,,0141,Reimbursable program activity (OPP)
0102,FY18Q3,,,075,,0142,ACL Program Administration
0801,FY18Q3,,,075,,0142,ACL Reimbursable Programs
0802,FY18Q3,,,075,,0142,ADRC's MIPPA (TRA)
0117,FY18Q3,,,075,,0142,Aging and Disability Resource Centers (ADRC)
0110,FY18Q3,,,075,,0142,Aging network support activities
0101,FY18Q3,,,075,,0142,Aging Services Programs
0127,FY18Q3,,,075,,0142,Alzheimer's Disease Communications Campaign PPHF
0113,FY18Q3,,,075,,0142,Alzheimer's Disease Demo Grants ADSSP
0133,FY18Q3,,,075,,0142,Alzheimer's Disease Initiative - Services PPHF
0803,FY18Q3,,,075,,0142,Area Agencies on Aging - MIPPA (TRA)
0148,FY18Q3,,,075,,0142,Assistive Technology
0118,FY18Q3,,,075,,0142,Chronic Disease Self-Management Education Program PPHF
0105,FY18Q3,,,075,,0142,Congregate nutrition services
0104,FY18Q3,,,075,,0142,Disability Services Programs
0122,FY18Q3,,,075,,0142,Elder Rights Support Activities
0123,FY18Q3,,,075,,0142,Falls Prevention - PPHF
0119,FY18Q3,,,075,,0142,Family Support
0101,FY18Q3,,,075,,0142,Home and community-based supportive services
0106,FY18Q3,,,075,,0142,Home-delivered nutrition services
0147,FY18Q3,,,075,,0142,Independent Living - Centers (CILs)
0146,FY18Q3,,,075,,0142,Independent Living - State Grants
0103,FY18Q3,,,075,,0142,Integrated Aging and Disability Services Programs
0115,FY18Q3,,,075,,0142,Lifespan respite care program
0144,FY18Q3,,,075,,0142,Limb Loss Resource Center
0111,FY18Q3,,,075,,0142,Long-term care ombudsmen program
0804,FY18Q3,,,075,,0142,MIPPA - Natl Center Benefits Outreach Enrollment
0126,FY18Q3,,,075,,0142,National Clearinghouse Long-Term Care Information
0103,FY18Q3,,,075,,0142,National family caregiver support program
0105,FY18Q3,,,075,,0142,"National Institute on Disability, Independent Living & Rehab Research"
0145,FY18Q3,,,075,,0142,"National Institute on Disability, Independent Living & Rehab Research"
0104,FY18Q3,,,075,,0142,Native American caregiver support program
0108,FY18Q3,,,075,,0142,Native American nutrition and supportive services
0109,FY18Q3,,,075,,0142,Nutrition Innovation Demonstrations
0107,FY18Q3,,,075,,0142,Nutrition services incentive program
0116,FY18Q3,,,075,,0142,Paralysis Resource Center
0112,FY18Q3,,,075,,0142,Prevention of elder abuse and neglect
0102,FY18Q3,,,075,,0142,Preventive health services
0114,FY18Q3,,,075,,0142,Program administration
0142,FY18Q3,,,075,,0142,Projects of National Significance
0139,FY18Q3,,,075,,0142,Protection and Advocacy
0801,FY18Q3,,,075,,0142,Reimbursable program - HCFAC and Other
0121,FY18Q3,,,075,,0142,Senior Medicare Patrol program
0805,FY18Q3,,,075,,0142,SHIP - (DISC and ATRA BBA)
0132,FY18Q3,,,075,,0142,State Aging & Disability Resource Centers - HCR
0138,FY18Q3,,,075,,0142,State Councils on Developmental Disabilities
0141,FY18Q3,,,075,,0142,University Centers for Excellence in Developmental Disabilities
0136,FY18Q3,,,075,,0142,Voting Access for People With Disabilities (HAVA)
0102,FY18Q3,,,075,,0143,ACL Program Administration
0801,FY18Q3,,,075,,0143,ACL Reimbursable Programs
0101,FY18Q3,,,075,,0143,Aging Services Programs
0104,FY18Q3,,,075,,0143,Disability Services Programs
0103,FY18Q3,,,075,,0143,Integrated Aging and Disability Services Programs
0105,FY18Q3,,,075,,0143,"National Institute on Disability, Independent Living & Rehab Research"
0001,FY18Q3,,,075,,0145,AHRQ
0801,FY18Q3,,,075,075,0145,AHRQ
0801,FY18Q3,,,075,,0145,AHRQ
0002,FY18Q3,,,075,,0145,Office of the Secretary
0802,FY18Q3,,,075,075,0145,Office of the Secretary
0802,FY18Q3,,,075,,0145,Office of the Secretary
0001,FY18Q3,,,075,,0146,Payment State Response to the Opioid Abuse Crisis Account
0001,FY18Q3,,,075,,0147,Payment to NIH Innovation
0001,FY18Q3,,,075,,0148,Payment to FDA Innovation
0001,FY18Q3,,,075,,0170,Medicare eligible accruals
0004,FY18Q3,,,418,,0200,Administration
0001,FY18Q3,,,418,,0200,Promotion of the humanities
0000,FY18Q3,,,075,,0320,Pre-1988 Vaccine Injury Compensation
0010,FY18Q3,,,075,,0321,"Maternal, Infant, and Early Childhood Home Visiting Programs"
0045,FY18Q3,,,075,,0330,Autism and Other Developmental Disorders
0015,FY18Q3,,,075,,0330,Black Lung Clinics
0025,FY18Q3,,,075,,0330,Bone Marrow Donor Registry
0038,FY18Q3,,,075,,0330,Childrens' GME
0046,FY18Q3,,,075,,0330,Cord Blood Stem Cell Bank
0049,FY18Q3,,,075,,0330,Drug Pricing Program
0021,FY18Q3,,,075,,0330,EMS for Children
0032,FY18Q3,,,075,,0330,Family Planning
0050,FY18Q3,,,075,,0330,Family Planning
0050,FY18Q3,,,075,,0330,Family to Family Health Information Centers ACA
0009,FY18Q3,,,075,,0330,Free Clinics Medical Malpractice
0077,FY18Q3,,,075,,0330,GME Payments THC ACA
0013,FY18Q3,,,075,,0330,Hansen's Disease Center
0040,FY18Q3,,,075,,0330,Health Care Systems
0010,FY18Q3,,,075,,0330,Health Centers
0073,FY18Q3,,,075,,0330,Health Centers ACA
0074,FY18Q3,,,075,,0330,Health Centers Construction ACA
0035,FY18Q3,,,075,,0330,Health Centers Tort Claim Fund
0017,FY18Q3,,,075,,0330,Health Professions
0801,FY18Q3,,,075,,0330,Health Resources and Services (Reimbursable)
0015,FY18Q3,,,075,,0330,Health Workforce
0020,FY18Q3,,,075,,0330,Health Workforce (Mandatory)
0019,FY18Q3,,,075,,0330,Healthy Start
0036,FY18Q3,,,075,,0330,Heritable Disorders
0023,FY18Q3,,,075,,0330,HIV/AIDS
0055,FY18Q3,,,075,,0330,HRSA Program Management
0033,FY18Q3,,,075,,0330,Loan Repayment/Faculty Fellowship
0025,FY18Q3,,,075,,0330,Maternal and Child Health
0030,FY18Q3,,,075,,0330,Maternal and Child Health (Mandatory)
0018,FY18Q3,,,075,,0330,Maternal and Child Health Block Grant
0012,FY18Q3,,,075,,0330,National Health Service Corps
0075,FY18Q3,,,075,,0330,National Health Service Corps ACA
0016,FY18Q3,,,075,,0330,Nursing Education Loan Repayment and Scholarships
0024,FY18Q3,,,075,,0330,Organ Transplantation
0014,FY18Q3,,,075,,0330,Payment to Hawaii for the Treatment of Hansen's Disease
0020,FY18Q3,,,075,,0330,Poison Control Centers
0005,FY18Q3,,,075,,0330,"Primary Health Care (Health Centers, Free Clinics)"
0010,FY18Q3,,,075,,0330,Primary Health Care (Mandatory)
0031,FY18Q3,,,075,,0330,Program Management
0043,FY18Q3,,,075,,0330,Radiogenic Diseases
0802,FY18Q3,,,075,,0330,Reimbursable program: PHS evaluation
0045,FY18Q3,,,075,,0330,Rural Health
0079,FY18Q3,,,075,,0330,Rural Health AED
0028,FY18Q3,,,075,,0330,Rural Health Flexibility Grants
0027,FY18Q3,,,075,,0330,Rural Health Outreach Grants
0026,FY18Q3,,,075,,0330,Rural Health Policy Development
0035,FY18Q3,,,075,,0330,Ryan White HIV/AIDS
0076,FY18Q3,,,075,,0330,School Based Health Centers ACA
0048,FY18Q3,,,075,,0330,Sickle Cell
0041,FY18Q3,,,075,,0330,State Offices of Rural Health
0030,FY18Q3,,,075,,0330,Telehealth
0044,FY18Q3,,,075,,0330,Traumatic Brain Injury
0022,FY18Q3,,,075,,0330,Universal Newborn Hearing Screening
0103,FY18Q3,,,075,,0343,Admin Expense
0001,FY18Q3,,,075,,0343,Claims
0001,FY18Q3,,,075,,0344,Contract Support Costs
0045,FY18Q3,,,075,,0350,Autism and Other Developmental Disorders
0015,FY18Q3,,,075,,0350,Black Lung Clinics
0025,FY18Q3,,,075,,0350,Bone Marrow Donor Registry
0038,FY18Q3,,,075,,0350,Childrens' GME
0046,FY18Q3,,,075,,0350,Cord Blood Stem Cell Bank
0049,FY18Q3,,,075,,0350,Drug Pricing Program
0021,FY18Q3,,,075,,0350,EMS for Children
0032,FY18Q3,,,075,,0350,Family Planning
0050,FY18Q3,,,075,,0350,Family Planning
0050,FY18Q3,,,075,,0350,Family to Family Health Information Centers ACA
0009,FY18Q3,,,075,,0350,Free Clinics Medical Malpractice
0077,FY18Q3,,,075,,0350,GME Payments THC ACA
0013,FY18Q3,,,075,,0350,Hansen's Disease Center
0040,FY18Q3,,,075,,0350,Health Care Systems
0010,FY18Q3,,,075,,0350,Health Centers
0073,FY18Q3,,,075,,0350,Health Centers ACA
0074,FY18Q3,,,075,,0350,Health Centers Construction ACA
0035,FY18Q3,,,075,,0350,Health Centers Tort Claim Fund
0017,FY18Q3,,,075,,0350,Health Professions
0801,FY18Q3,,,075,,0350,Health Resources and Services (Reimbursable)
0015,FY18Q3,,,075,,0350,Health Workforce
0020,FY18Q3,,,075,,0350,Health Workforce (Mandatory)
0019,FY18Q3,,,075,,0350,Healthy Start
0036,FY18Q3,,,075,,0350,Heritable Disorders
0023,FY18Q3,,,075,,0350,HIV/AIDS
0000,FY18Q3,,,075,,0350,HRSA Historical Activity
0055,FY18Q3,,,075,,0350,HRSA Program Management
0802,FY18Q3,,,075,,0350,HRSA Reimbursable program: PHS evaluation
0033,FY18Q3,,,075,,0350,Loan Repayment/Faculty Fellowship
0025,FY18Q3,,,075,,0350,Maternal and Child Health
0030,FY18Q3,,,075,,0350,Maternal and Child Health (Mandatory)
0018,FY18Q3,,,075,,0350,Maternal and Child Health Block Grant
0012,FY18Q3,,,075,,0350,National Health Service Corps
0075,FY18Q3,,,075,,0350,National Health Service Corps ACA
0016,FY18Q3,,,075,,0350,Nursing Education Loan Repayment and Scholarships
0024,FY18Q3,,,075,,0350,Organ Transplantation
0014,FY18Q3,,,075,,0350,Payment to Hawaii for the Treatment of Hansen's Disease
0020,FY18Q3,,,075,,0350,Poison Control Centers
0005,FY18Q3,,,075,,0350,"Primary Health Care (Health Centers, Free Clinics)"
0010,FY18Q3,,,075,,0350,Primary Health Care (Mandatory)
0031,FY18Q3,,,075,,0350,Program Management
0043,FY18Q3,,,075,,0350,Radiogenic Diseases
0802,FY18Q3,,,075,,0350,Reimbursable program: PHS evaluation
0045,FY18Q3,,,075,,0350,Rural Health
0079,FY18Q3,,,075,,0350,Rural Health AED
0028,FY18Q3,,,075,,0350,Rural Health Flexibility Grants
0027,FY18Q3,,,075,,0350,Rural Health Outreach Grants
0026,FY18Q3,,,075,,0350,Rural Health Policy Development
0035,FY18Q3,,,075,,0350,Ryan White HIV/AIDS
0076,FY18Q3,,,075,,0350,School Based Health Centers ACA
0048,FY18Q3,,,075,,0350,Sickle Cell
0041,FY18Q3,,,075,,0350,State Offices of Rural Health
0030,FY18Q3,,,075,,0350,Telehealth
0044,FY18Q3,,,075,,0350,Traumatic Brain Injury
0022,FY18Q3,,,075,,0350,Universal Newborn Hearing Screening
0050,FY18Q3,,,075,,0351,Family Planning
0040,FY18Q3,,,075,,0351,Health Care Systems
0801,FY18Q3,,,075,,0351,Health Resources and Services (Reimbursable)
0015,FY18Q3,,,075,,0351,Health Workforce
0020,FY18Q3,,,075,,0351,Health Workforce (Mandatory)
0055,FY18Q3,,,075,,0351,HRSA Program Management
0025,FY18Q3,,,075,,0351,Maternal and Child Health
0030,FY18Q3,,,075,,0351,Maternal and Child Health (Mandatory)
0005,FY18Q3,,,075,,0351,"Primary Health Care (Health Centers, Free Clinics)"
0010,FY18Q3,,,075,,0351,Primary Health Care (Mandatory)
0045,FY18Q3,,,075,,0351,Rural Health
0035,FY18Q3,,,075,,0351,Ryan White HIV/AIDS
0045,FY18Q3,,,075,,0352,Autism and Other Developmental Disorders
0015,FY18Q3,,,075,,0352,Black Lung Clinics
0025,FY18Q3,,,075,,0352,Bone Marrow Donor Registry
0038,FY18Q3,,,075,,0352,Childrens' GME
0046,FY18Q3,,,075,,0352,Cord Blood Stem Cell Bank
0049,FY18Q3,,,075,,0352,Drug Pricing Program
0021,FY18Q3,,,075,,0352,EMS for Children
0032,FY18Q3,,,075,,0352,Family Planning
0050,FY18Q3,,,075,,0352,Family Planning
0050,FY18Q3,,,075,,0352,Family to Family Health Information Centers ACA
0009,FY18Q3,,,075,,0352,Free Clinics Medical Malpractice
0077,FY18Q3,,,075,,0352,GME Payments THC ACA
0013,FY18Q3,,,075,,0352,Hansen's Disease Center
0040,FY18Q3,,,075,,0352,Health Care Systems
0010,FY18Q3,,,075,,0352,Health Centers
0073,FY18Q3,,,075,,0352,Health Centers ACA
0074,FY18Q3,,,075,,0352,Health Centers Construction ACA
0035,FY18Q3,,,075,,0352,Health Centers Tort Claim Fund
0017,FY18Q3,,,075,,0352,Health Professions
0801,FY18Q3,,,075,,0352,Health Resources and Services (Reimbursable)
0015,FY18Q3,,,075,,0352,Health Workforce
0020,FY18Q3,,,075,,0352,Health Workforce (Mandatory)
0019,FY18Q3,,,075,,0352,Healthy Start
0036,FY18Q3,,,075,,0352,Heritable Disorders
0023,FY18Q3,,,075,,0352,HIV/AIDS
0055,FY18Q3,,,075,,0352,HRSA Program Management
0033,FY18Q3,,,075,,0352,Loan Repayment/Faculty Fellowship
0025,FY18Q3,,,075,,0352,Maternal and Child Health
0030,FY18Q3,,,075,,0352,Maternal and Child Health (Mandatory)
0018,FY18Q3,,,075,,0352,Maternal and Child Health Block Grant
0012,FY18Q3,,,075,,0352,National Health Service Corps
0075,FY18Q3,,,075,,0352,National Health Service Corps ACA
0016,FY18Q3,,,075,,0352,Nursing Education Loan Repayment and Scholarships
0024,FY18Q3,,,075,,0352,Organ Transplantation
0014,FY18Q3,,,075,,0352,Payment to Hawaii for the Treatment of Hansen's Disease
0020,FY18Q3,,,075,,0352,Poison Control Centers
0005,FY18Q3,,,075,,0352,"Primary Health Care (Health Centers, Free Clinics)"
0010,FY18Q3,,,075,,0352,Primary Health Care (Mandatory)
0031,FY18Q3,,,075,,0352,Program Management
0043,FY18Q3,,,075,,0352,Radiogenic Diseases
0802,FY18Q3,,,075,,0352,Reimbursable program: PHS evaluation
0045,FY18Q3,,,075,,0352,Rural Health
0079,FY18Q3,,,075,,0352,Rural Health AED
0028,FY18Q3,,,075,,0352,Rural Health Flexibility Grants
0027,FY18Q3,,,075,,0352,Rural Health Outreach Grants
0026,FY18Q3,,,075,,0352,Rural Health Policy Development
0035,FY18Q3,,,075,,0352,Ryan White HIV/AIDS
0076,FY18Q3,,,075,,0352,School Based Health Centers ACA
0048,FY18Q3,,,075,,0352,Sickle Cell
0041,FY18Q3,,,075,,0352,State Offices of Rural Health
0030,FY18Q3,,,075,,0352,Telehealth
0044,FY18Q3,,,075,,0352,Traumatic Brain Injury
0022,FY18Q3,,,075,,0352,Universal Newborn Hearing Screening
0045,FY18Q3,,,075,,0353,Autism and Other Developmental Disorders
0015,FY18Q3,,,075,,0353,Black Lung Clinics
0025,FY18Q3,,,075,,0353,Bone Marrow Donor Registry
0038,FY18Q3,,,075,,0353,Childrens' GME
0046,FY18Q3,,,075,,0353,Cord Blood Stem Cell Bank
0049,FY18Q3,,,075,,0353,Drug Pricing Program
0021,FY18Q3,,,075,,0353,EMS for Children
0032,FY18Q3,,,075,,0353,Family Planning
0050,FY18Q3,,,075,,0353,Family Planning
0050,FY18Q3,,,075,,0353,Family to Family Health Information Centers ACA
0009,FY18Q3,,,075,,0353,Free Clinics Medical Malpractice
0077,FY18Q3,,,075,,0353,GME Payments THC ACA
0013,FY18Q3,,,075,,0353,Hansen's Disease Center
0040,FY18Q3,,,075,,0353,Health Care Systems
0010,FY18Q3,,,075,,0353,Health Centers
0073,FY18Q3,,,075,,0353,Health Centers ACA
0074,FY18Q3,,,075,,0353,Health Centers Construction ACA
0035,FY18Q3,,,075,,0353,Health Centers Tort Claim Fund
0017,FY18Q3,,,075,,0353,Health Professions
