rule_label,rule_error_message,rule_cross_file_flag,file_type,severity_name,target_file,query_name,expected_value,category
A10,"BorrowingAuthorityAmountTotal_CPE= CPE aggregate value for GTAS SF-133 line #1340 + #1440",n,appropriations,fatal,,a10_appropriations,"(See SQL file)","accuracy"
A11,"SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE= CPE aggregate value for GTAS SF-133 line #1750 + #1850",n,appropriations,fatal,,a11_appropriations,"(See SQL file)","accuracy"
A12,"AdjustmentsToUnobligatedBalanceBroughtForward_CPE= CPE aggregate value for GTAS SF-133 line #1010 through 1067 (periods prior to FY21 will continue to SUM lines 1010 through 1042)",n,appropriations,fatal,,a12_appropriations,"(See SQL file)","accuracy"
A14,"GrossOutlayAmountByTAS_CPE= CPE value for GTAS SF-133 line #3020",n,appropriations,fatal,,a14_appropriations,"(See SQL file)","accuracy"
A15,"UnobligatedBalance_CPE= CPE value for GTAS SF-133 line #2490",n,appropriations,fatal,,a15_appropriations,"(See SQL file)","accuracy"
A18,"The GrossOutlayAmountByTAS_CPE amount in the appropriation file (A) does not equal the sum of the corresponding GrossOutlayAmountByProgramObjectClass_CPE values in the award financial file (B) (this value is the sum of all Gross Outlay Amounts reported in file B, to indicate year-to-date activity by TAS/Subaccount).",y,appropriations,warning,program_activity,a18_cross_file,"(See SQL file)","accuracy"
A19,"The ObligationsIncurredTotalByTAS_CPE amount in the appropriation file (A) does not equal the negative sum of the corresponding ObligationsIncurredByProgramObjectClass_CPE values in the award financial file (B).",y,appropriations,warning,program_activity,a19_cross_file,"(See SQL file)","accuracy"
A22,"ObligationsIncurredTotalByTAS_CPE= CPE value for GTAS SF-133 line #2190",n,appropriations,fatal,,a22_appropriations,"(See SQL file)","accuracy"
A23,"StatusOfBudgetaryResourcesTotal_CPE= CPE value for GTAS SF-133 line #2500",n,appropriations,fatal,,a23_appropriations,"(See SQL file)","accuracy"
A24,"StatusOfBudgetaryResourcesTotal_CPE = TotalBudgetaryResources_CPE.",n,appropriations,fatal,,a24_appropriations,"StatusOfBudgetaryResourcesTotal_CPE must equal TotalBudgetaryResources_CPE. The Broker cannot distinguish which side of the equation is correct for this rule. Refer to related rule errors and warnings in this report (rules A6, A23) to distinguish which elements may be incorrect.","accuracy"
A29,"DeobligationsRecoveriesRefundsByTAS_CPE = CPE aggregate value for GTAS SF-133 line 1021+1033",n,appropriations,fatal,,a29_appropriations,"(See SQL file)","accuracy"
A30.1,"All TAS values in File A (appropriations) must exist in File B (object class program activity).",y,appropriations,fatal,program_activity,a30_appropriations,"(See SQL file)","completeness"
A30.2,"All TAS values in File B (object class program activity) must exist in File A (appropriations).",y,program_activity,fatal,appropriations,a30_object_class_program_activity,"(See SQL file)","completeness"
A32,"TAS values in File A (appropriations) must be unique.",n,appropriations,fatal,,a32_appropriations,"There must be only one line reported per TAS in File A.","existence"
A33.1,"Each TAS reported to GTAS for GTAS SF 133 should be reported in File A, with the exception of Financing Accounts, or when all monetary amounts are zero for the TAS.",n,appropriations,warning,,a33_appropriations_1,"With certain exceptions referenced in the Practices and Procedures, if a TAS is certified in GTAS for SF 133 purposes, it should also be reported for File A.","completeness"
A33.2,"Each TAS reported in File A should be reported in GTAS for GTAS SF 133, with the exception of Financing Accounts, or when all monetary amounts are zero for the TAS.",n,appropriations,warning,,a33_appropriations_2,"With certain exceptions referenced in the Practices and Procedures, if a TAS is certified in GTAS for SF 133 purposes, it should also be reported for File A.","completeness"
A33.3,"Allocation accounts should be reported by the Child Agency, not by the Parent agency, and the AllocationTransferAgencyIdentifier listed should match the Common Government-wide Accounting Classification (CGAC) of the submitting agency.",n,appropriations,warning,,a33_appropriations_3,"(See SQL file)","completeness"
A34,"BudgetAuthorityUnobligatedBalanceBroughtForward_FYB= value for GTAS SF 133 line #2490 from the end of the prior fiscal year.",n,appropriations,fatal,,a34_appropriations,"(See SQL file)","accuracy"
A35,"DeobligationsRecoveriesRefundsByTAS_CPE in File A should equal USSGL (4871_CPE+ 4971_CPE+ 4872_CPE+ 4972_CPE) for the TAS in File B.",y,appropriations,warning,program_activity,a35_cross_file,"(See SQL file)","accuracy"
B3.1,"ObligationsUndeliveredOrdersUnpaidTotal (FYB) = USSGL 4801 for the same TAS/Disaster Emergency Fund Code (DEFC) combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b3_object_class_program_activity_1,"Within File B, ObligationsUndeliveredOrdersUnpaidTotal_FYB should equal USSGL4801_FYB for the same TAS/Disaster Emergency Fund Code (DEFC) combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B3.2,"ObligationsUndeliveredOrdersUnpaidTotal (CPE) = USSGL(4801 + 4831 + 4881) for the same TAS/Disaster Emergency Fund Code (DEFC) combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b3_object_class_program_activity_2,"Within File B, ObligationsUndeliveredOrdersUnpaidTotal_CPE should equal USSGL4801_CPE + 4831_CPE + 4881_CPE for the same TAS/Disaster Emergency Fund Code (DEFC) combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B4.1,"ObligationsDeliveredOrdersUnpaidTotal (FYB) = USSGL 4901 for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b4_object_class_program_activity_1,"Within File B, ObligationsDeliveredOrdersUnpaidTotal_FYB should equal USSGL4901_FYB for the same TAS/Disaster Emergency Fund Code (DEFC) combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B4.2,"ObligationsDeliveredOrdersUnpaidTotal (CPE) = USSGL(4901 + 4931 + 4981) for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b4_object_class_program_activity_2,"Within File B, ObligationsDeliveredOrdersUnpaidTotal_CPE should equal USSGL4901_CPE + 4931_CPE + 4981_CPE for the same TAS/Disaster Emergency Fund Code (DEFC) combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B5.1,"GrossOutlayAmountByProgramObjectClass_FYB (File B) = GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB (File B) + GrossOutlaysDeliveredOrdersPaidTotal_FYB (File B) for the same TAS/DEFC combination.",n,program_activity,warning,,b5_object_class_program_activity_1,"Within File B, GrossOutlayAmountByProgramObjectClass_FYB (File B) should equal GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB (File B) + GrossOutlaysDeliveredOrdersPaidTotal_FYB (File B) for the same TAS/DEFC combination. This rule is unable to determine which element is incorrect, just that they differ.","accuracy"
B5.2,"GrossOutlayAmountByProgramObjectClass_CPE (File B) = GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE (File B) - GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB (File B) + GrossOutlaysDeliveredOrdersPaidTotal_CPE (File B) - GrossOutlaysDeliveredOrdersPaidTotal_FYB (File B) for the same TAS/DEFC combination.",n,program_activity,warning,,b5_object_class_program_activity_2,"Within File B, GrossOutlayAmountByProgramObjectClass_CPE (File B) should reflect year-to-date activity as of the end of the reporting period, by subtracting GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB and GrossOutlaysDeliveredOrdersPaidTotal_FYB from their CPE counterparts for the same TAS/DEFC combination. This rule is unable to determine which element is incorrect, just that they differ.","accuracy"
B6.1,"GrossOutlaysUndeliveredOrdersPrepaidTotal (FYB) = USSGL 4802 for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b6_object_class_program_activity_1,"Within File B, GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB should equal USSGL 4802_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B6.2,"GrossOutlaysUndeliveredOrdersPrepaidTotal (CPE) = USSGL(4802 + 4832 + 4882) for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b6_object_class_program_activity_2,"Within File B, GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE should equal USSGL 4802_CPE + 4832_CPE + 4882_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B7.1,"GrossOutlaysDeliveredOrdersPaidTotal (FYB)= USSGL 4908 for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b7_object_class_program_activity_1,"Within File B, GrossOutlaysDeliveredOrdersPaidTotal_FYB should equal USSGL 4908_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B7.2,"GrossOutlaysDeliveredOrdersPaidTotal (CPE)= USSGL(4902 + 4908 + 4982) for the same TAS/DEFC combination. This applies to the program activity name and program activity code at the program activity level and object class code and direct/reimbursable flag at the object class level.",n,program_activity,warning,,b7_object_class_program_activity_2,"Within File B, GrossOutlaysDeliveredOrdersPaidTotal_CPE should equal USSGL 4902_CPE + 4908_CPE + 4982_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
B9,"Should be a valid program activity name/program activity code combination for the corresponding funding TAS/TAFS, as defined in the OMB Program Activity MAX Collect Exercise. However, if every balance on this row is $0, a program activity name of ""Unknown/Other"" combined with a program activity code of 0000 should be used. Note: A program activity code of ""0000"" or a program activity name of ""Unknown/Other"" should not be provided for File C.",n,program_activity,warning,,b9_object_class_program_activity,"A valid program activity code","existence"
B9,"Should be a valid program activity name/program activity code combination for the corresponding funding TAS/TAFS, as defined in the OMB Program Activity MAX Collect Exercise. However, if every balance on this row is $0, a program activity name of ""Unknown/Other"" combined with a program activity code of 0000 should be used. Note: A program activity code of ""0000"" or a program activity name of ""Unknown/Other"" should not be provided for File C.",n,award_financial,warning,,b9_award_financial,"A valid program activity code","existence"
B11.1,"Must be a valid 3-digit object class as defined in OMB Circular A-11 Section 83.6, or a 4-digit code which includes a 1-digit suffix that is typically zero. Do not include decimal points when reporting object classes (e.g., ""25.2"" would be reported as 252 or 2520). For amounts that cannot yet be allocated to a valid object class, input 000, although note that this will prompt a warning unless all obligation and outlay balances on this row are $0. A fatal error will be given if Object Class is not provided.",n,award_financial,fatal,,b11_award_financial_1,"A valid object class code","existence"
B11.2,"Must be a valid 3-digit object class as defined in OMB Circular A-11 Section 83.6, or a 4-digit code which includes a 1-digit suffix that is typically zero. Do not include decimal points when reporting object classes (e.g., ""25.2"" would be reported as 252 or 2520). For amounts that cannot yet be allocated to a valid object class, input 000, although note that this will prompt a warning unless all obligation and outlay balances on this row are $0. A fatal error will be given if Object Class is not provided.",n,award_financial,warning,,b11_award_financial_2,"A valid object class code","existence"
B11.3,"Must be a valid 3-digit object class as defined in OMB Circular A-11 Section 83.6, or a 4-digit code which includes a 1-digit suffix that is typically zero. Do not include decimal points when reporting object classes (e.g., ""25.2"" would be reported as 252 or 2520). For amounts that cannot yet be allocated to a valid object class, input 000, although note that this will prompt a warning unless all obligation and outlay balances on this row are $0. A fatal error will be given if Object Class is not provided.",n,program_activity,fatal,,b11_object_class_program_activity_1,"A valid object class code","existence"
B11.4,"Must be a valid 3-digit object class as defined in OMB Circular A-11 Section 83.6, or a 4-digit code which includes a 1-digit suffix that is typically zero. Do not include decimal points when reporting object classes (e.g., ""25.2"" would be reported as 252 or 2520). For amounts that cannot yet be allocated to a valid object class, input 000, although note that this will prompt a warning unless all obligation and outlay balances on this row are $0. A fatal error will be given if Object Class is not provided.",n,program_activity,warning,,b11_object_class_program_activity_2,"A valid object class code","existence"
B12.1,"Reimbursable flag indicator is required when reporting non-zero obligation or outlay USSGL account balances (excluding USSGL accounts for downward adjustments and transfers). Valid values are ""R"" for ""ReimbursableFundingSource"" and ""D"" for ""DirectFundingSource"".",n,award_financial,fatal,,b12_award_financial_1,"D or R","completeness"
B12.2,"The reimbursable flag indicator (bydirectreimbursablefundingsource) must be empty, R, or D",n,award_financial,fatal,,b12_award_financial_2,"(null), D, or R","accuracy"
B12.3,"Reimbursable flag indicator is required when reporting non-zero obligation or outlay USSGL account balances (excluding USSGL accounts for downward adjustments and transfers). Valid values are ""R"" for ""ReimbursableFundingSource"" and ""D"" for ""DirectFundingSource"".",n,program_activity,fatal,,b12_object_class_program_activity_1,"D or R","completeness"
B12.4,"The reimbursable flag indicator (bydirectreimbursablefundingsource) must be empty, R, or D",n,program_activity,fatal,,b12_object_class_program_activity_2,"(null), D, or R","accuracy"
B13,"DeobligationsRecoveriesRefundsOfPriorYearByProgramObjectClass_CPE in File B = USSGL(4871+ 4872 + 4971 + 4972) in File B for the same reporting period and TAS/DEFC combination.",n,program_activity,warning,,b13_object_class_program_activity,"Within File B, DeobligationsRecoveriesRefundsOfPriorYearByProgramObjectClass_CPE should equal the amounts provided in File B for USSGL(4871_CPE+ 4872_CPE + 4971_CPE + 4972_CPE). The Broker cannot distinguish which element is correct for this rule; the agency should review its source information.","accuracy"
B14,"All the Direct Appropriation (D) amounts reported for (4801_CPE less 4801_FYB) + (4802_CPE less 4802_FYB) + 4881_CPE + 4882_CPE + (4901_CPE less 4901_FYB) + 4902_CPE + (4908_CPE less 4908_FYB) + 4981_CPE + 4982_CPE = the opposite sign of GTAS SF 133 line 2004 per TAS, for the same reporting period and TAS/DEFC combination.",n,program_activity,warning,,b14_object_class_program_activity,"(See SQL file)","accuracy"
B15,"All the Reimbursable (R) amounts reported for (4801_CPE less 4801_FYB) + (4802_CPE less 4802_FYB) + 4881_CPE + 4882_CPE + (4901_CPE less 4901_FYB) + 4902_CPE + (4908_CPE less 4908_FYB) + 4981_CPE + 4982_CPE = the opposite sign of GTAS SF 133 line 2104 per TAS, for the same reporting period and TAS/DEFC combination. If the DEFC is other than Q or QQQ, this value should be $0 since there should not be reimbursable work reported for disasters or emergencies.",n,program_activity,warning,,b15_object_class_program_activity,"(See SQL file)","accuracy"
B19,"The combination of TAS/object class/program activity code+name/reimbursable flag/DEFC in File B (object class program activity) must be unique.",n,program_activity,fatal,,b19_object_class_program_activity,"The combination of TAS/object class/program activity code+name/reimbursable flag in File B must be unique.","existence"
B20,"All combinations of TAS/program activity code+name/object class/DEFC in File C (award financial) must exist in File B (object class program activity). Since not all object classes will have award activity, it is acceptable for combinations of TAS/program activity code+name/object class/DEFC in File C to be a subset of those provided in File B.",y,award_financial,fatal,program_activity,b20_object_class_program_activity,"(See SQL file)","existence"
B21,"For monthly submissions, all TAS and Disaster Emergency Fund Code (DEFC) combinations required to be reported to GTAS are reported in File B, with the exception of Financing Accounts (or when all obligation and outlay monetary amounts are zero for the TAS). As noted in A33, allocation accounts should be reported by the Child Agency, not by the Parent agency, and the AllocationTransferAgencyIdentifier listed should match the Common Government-wide Accounting Classification (CGAC) of the submitting agency.",n,program_activity,warning,,b21_object_class_program_activity,"With certain exceptions referenced in the Practices and Procedures, if a TAS and DEFC combination is certified in GTAS for SF 133 purposes, it should also be reported for File B.","completeness"
B22,"GrossOutlayAmountByProgramObjectClass_CPE = value for GTAS SF 133 line #3020 for the same reporting period for the TAS and DEFC combination.",n,program_activity,warning,,b22_object_class_program_activity,"(See SQL file)","accuracy"
B24,"DEFC values must be one of the values from GTAS Disaster Emergency Fund Code Domain Values, per https://community.max.gov/display/Budget/Disaster+and+Emergency+Funding+Tracking+Dashboard. DEFC cannot be blank.",n,program_activity,fatal,,b24_object_class_program_activity,"A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, or 9","accuracy"
B24,"DEFC values must be one of the values from GTAS Disaster Emergency Fund Code Domain Values, per https://community.max.gov/display/Budget/Disaster+and+Emergency+Funding+Tracking+Dashboard. DEFC cannot be blank.",n,award_financial,fatal,,b24_award_financial,"A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, or 9","accuracy"
B25,"ObligationsIncurredByProgramObjectClass_CPE = the negative (additive inverse) value for GTAS SF 133 line #2190 for the same reporting period for the TAS and DEFC combination.",n,program_activity,warning,,b25_object_class_program_activity,(See SQL file),"accuracy"
B26,"DeobligationsRecoveriesRefundsOfPriorYearByProgramObjectClass_CPE = value for GTAS SF 133 lines #1021+1033 for the same reporting period for the TAS and DEFC combination.",n,program_activity,warning,,b26_object_class_program_activity,(See SQL file),"accuracy"
C3.1,"ObligationsUndeliveredOrdersUnpaidTotalFYB = USSGL4801 for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c3_award_financial_1,"Within File C, ObligationsUndeliveredOrdersUnpaidTotal_FYB should equal USSGL4801_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C3.2,"ObligationsUndeliveredOrdersUnpaidTotalCPE = USSGL(4801 + 4831+ 4881) for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c3_award_financial_2,"Within File C, ObligationsUndeliveredOrdersUnpaidTotal_CPE should equal USSGL4801_CPE + 4831_CPE + 4881_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C4.1,"ObligationsDeliveredOrdersUnpaidTotalFYB = USSGL4901 for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c4_award_financial_1,"Within File C, ObligationsDeliveredOrdersUnpaidTotal_FYB should equal USSGL4901_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C4.2,"ObligationsDeliveredOrdersUnpaidTotalCPE = USSGL(4901 + 4931+ 4981) for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c4_award_financial_2,"Within File C, ObligationsDeliveredOrdersUnpaidTotal_CPE should equal USSGL4901_CPE + 4931_CPE + 4981_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C5.1,"GrossOutlayAmountByAwardFYB = GrossOutlaysUndeliveredOrdersPrepaidTotalFYB + GrossOutlaysDeliveredOrdersPaidTotalFYB for the same TAS/DEFC combination.",n,award_financial,warning,,c5_award_financial_1,"Within File C, GrossOutlayAmountByProgramObjectClass_FYB (File C) should equal GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB (File C) + GrossOutlaysDeliveredOrdersPaidTotal_FYB (File C) for the same TAS/DEFC combination. This rule is unable to determine which element is incorrect, just that they differ.","accuracy"
C5.2,"GrossOutlayAmountByAwardCPE = GrossOutlaysUndeliveredOrdersPrepaidTotalCPE - GrossOutlaysUndeliveredOrdersPrepaidTotalFYB + GrossOutlaysDeliveredOrdersPaidTotalCPE - GrossOutlaysDeliveredOrdersPaidTotalFYB for the same TAS/DEFC combination. Note: This rule does not apply if GrossOutlayAmountByAward_CPE is the only non-zero value provided on a non-TOA (balance) row on File C.",n,award_financial,warning,,c5_award_financial_2,"Within File C, GrossOutlayAmountByProgramObjectClass_CPE (File C) should reflect year-to-date activity as of the end of the reporting period, by subtracting GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB and GrossOutlaysDeliveredOrdersPaidTotal_FYB from their CPE counterparts for the same TAS/DEFC combination. This rule is unable to determine which element is incorrect, just that they differ.","accuracy"
C6.1,"GrossOutlaysUndeliveredOrdersPrepaidTotalFYB = USSGL4802 for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c6_award_financial_1,"Within File C, GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB should equal USSGL 4802_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C6.2,"GrossOutlaysUndeliveredOrdersPrepaidTotalCPE = USSGL(4802 + 4832+ 4882) for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c6_award_financial_2,"Within File C, GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE should equal USSGL 4802_CPE + 4832_CPE + 4882_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C7.1,"GrossOutlaysDeliveredOrdersPaidTotalFYB = USSGL4908 for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c7_award_financial_1,"Within File C, GrossOutlaysDeliveredOrdersPaidTotal_FYB should equal USSGL 4908_FYB for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C7.2,"GrossOutlaysDeliveredOrdersPaidTotalCPE = USSGL(4902 + 4908 + 4982) for the same TAS/DEFC combination. This applies to the award level.",n,award_financial,warning,,c7_award_financial_2,"Within File C, GrossOutlaysDeliveredOrdersPaidTotal_CPE should equal USSGL 4902_CPE + 4908_CPE + 4982_CPE for the same TAS/DEFC combination. However, the Broker cannot determine which element is incorrect in this rule. Refer to your source information to distinguish which elements may be incorrect.","accuracy"
C8,"Unique FAIN or URI from file C should exist in file D2. Note that in File C: 1) FAIN must be null for aggregate records; and 2) URI must be null for non-aggregate records and PII-redacted non-aggregate records. Note that this only compares award identifiers when the TransactionObligatedAmount is not null.",y,award_financial,warning,award,c8_award_financial,"(See SQL file)","completeness"
C9,"Unique FAIN or URI from file D2 should exist in file C, except for: 1) Loans (AssistanceType = 07 or 08) with OriginalLoanSubsidyCost <= 0 in D2; or 2) Non-Loans with FederalActionObligation = 0 in D2. For non-aggregate and PII-redacted non-aggregate records, only the FAIN in D2 will be compared to C. For aggregate records, only the URI in D2 will be compared to C. Note that for File C, FAIN and URI cannot be provided on the same row.",y,award,warning,award_financial,c9_award_financial,"(See SQL file)","completeness"
C11,"Each unique PIID (or combination of PIID/ParentAwardId) from file C should exist in file D1. Note that this only compares award identifiers when the TransactionObligatedAmount is not null.",y,award_financial,warning,award_procurement,c11_cross_file,"(See SQL file)","completeness"
C12,"Each unique PIID (or combination of PIID/ParentAwardId) from file D1 should exist in file C during the same reporting period, except D1 records where FederalActionObligation = 0.",y,award_procurement,warning,award_financial,c12_cross_file,"(See SQL file)","completeness"
C14.1,"Must provide either FAIN, URI, or PIID",n,award_financial,fatal,,c14_award_financial_1,"Each row provided in file C must contain either a FAIN, URI, or PIID. Rows must not contain a PIID and FAIN, or a PIID and URI.","completeness"
C14.2,"Row must not contain both PIID and FAIN, both a PIID and URI or both a FAIN and URI.",n,award_financial,fatal,,c14_award_financial_2,"Each row provided in file C must contain either a FAIN, URI, or PIID. Rows must not contain a PIID and FAIN, or a PIID and URI.","existence"
C17,"TransactionObligatedAmount and USSGL related balances and subtotals cannot be provided on the same row. Please note that this rule will apply for any non-null (non-blank) value provided, including zero (0).",n,award_financial,fatal,,c17_award_financial,"The value for TransactionObligatedAmount cannot be populated on this row since it contains values for USSGL related elements or subtotals.","existence"
